id,name,market,alias,wins,losses,ties,points_for,points_against,points_rank,touchdown_diff,conf_h2h,rank_conference,rank_division,streak_type,streak_length,streak_desc,strength_of_schedule_wins,strength_of_schedule_total,strength_of_victory_wins,strength_of_victory_total,division,conference
1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,Oakland,OAK,3,13,0,253,452,63,-23,0,15,4,loss,1,"Lost 1",146,256,26,48,"AFC West",AFC
e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,Dallas,DAL,12,4,0,467,352,20,13,0,3,1,win,4,"Won 4",114,256,81,192,"NFC East",NFC
386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,Philadelphia,PHI,10,6,0,474,400,25,6,0,7,2,win,1,"Won 1",126,256,67,160,"NFC East",NFC
04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,"New York",NYG,6,10,0,380,400,35,-1,2,11,3,loss,1,"Lost 1",131,256,31,96,"NFC East",NFC
22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,Washington,WAS,4,12,0,301,438,55,-20,0,15,4,loss,1,"Lost 1",127,256,27,64,"NFC East",NFC
a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,"Green Bay",GB,12,4,0,486,348,14,18,0,2,1,win,2,"Won 2",124,256,85,192,"NFC North",NFC
c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,Detroit,DET,11,5,0,321,282,25,3,-1,6,2,loss,1,"Lost 1",121,256,69,176,"NFC North",NFC
33405046-04ee-4058-a950-d606f8c30852,Vikings,Minnesota,MIN,7,9,0,325,343,31,-3,-1,10,3,win,1,"Won 1",122,256,35,112,"NFC North",NFC
7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,Chicago,CHI,5,11,0,319,442,54,-9,0,14,4,loss,5,"Lost 5",136,256,27,80,"NFC North",NFC
f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,Carolina,CAR,7,8,1,339,374,40,-8,0,4,1,win,4,"Won 4",126,256,40,112,"NFC South",NFC
0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,"New Orleans",NO,7,9,0,401,424,37,2,1,9,2,win,1,"Won 1",125,256,47,112,"NFC South",NFC
e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,Atlanta,ATL,6,10,0,381,417,39,-4,0,12,3,loss,1,"Lost 1",124,256,37,96,"NFC South",NFC
4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,"Tampa Bay",TB,2,14,0,277,410,54,-15,0,16,4,loss,6,"Lost 6",125,256,15,32,"NFC South",NFC
3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,Seattle,SEA,12,4,0,394,254,11,16,0,1,1,win,6,"Won 6",135,256,99,192,"NFC West",NFC
de760528-1dc0-416a-a978-b510d20692ff,Cardinals,Arizona,ARI,11,5,0,310,299,29,0,1,5,2,loss,2,"Lost 2",134,256,84,176,"NFC West",NFC
f0e724b0-4cbf-495a-be47-013907608da9,49ers,"San Francisco",SF,8,8,0,306,340,35,-7,0,8,3,win,1,"Won 1",135,256,65,128,"NFC West",NFC
39f349de-6463-4803-ad70-f1e0f144f5ed,Rams,"St. Louis",STL,6,10,0,324,354,37,-4,0,13,4,loss,3,"Lost 3",136,256,41,96,"NFC West",NFC
